CASE_ID,COLLISION_DATE,MONTH,HOUR,DAY_OF_WEEK,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,COUNT_PED_KILLED,COUNT_BICYCLIST_KILLED,COUNT_MC_KILLED,STWD_VEHTYPE_AT_FAULT,COUNTY
9609155,2023-07-28,7,9,5,minor injury,0,1,improper turning,broadside,no,yes,no,0,1,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609156,2023-07-17,7,9,1,possible injury,0,3,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609157,2023-07-25,7,22,2,possible injury,0,1,following too closely,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609158,2023-07-22,7,7,6,minor injury,0,1,unsafe speed,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609159,2023-07-04,7,20,2,minor injury,0,2,unsafe speed,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN BERNARDINO
9609160,2023-07-26,7,16,3,severe injury,0,3,automobile right of way,broadside,no,no,yes,0,0,1,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609161,2023-07-22,7,21,6,possible injury,0,4,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609162,2023-07-22,7,16,6,possible injury,0,1,pedestrian right of way,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Not Stated,LOS ANGELES
9609163,2023-07-24,7,6,1,minor injury,0,1,unsafe lane change,other,no,yes,no,0,1,0,0,0,0,Bicycle,LOS ANGELES
9609164,2023-07-21,7,13,5,possible injury,0,1,other hazardous violation,other,no,yes,no,0,1,0,0,0,0,Not Stated,LOS ANGELES
9609165,2023-07-21,7,16,5,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609166,2023-07-21,7,16,5,possible injury,0,1,improper turning,rear end,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609167,2023-07-16,7,10,7,possible injury,0,2,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609168,2023-07-21,7,9,5,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609169,2023-07-16,7,14,7,minor injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609170,2023-07-16,7,19,7,minor injury,0,2,improper turning,sideswipe,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609171,2023-07-04,7,14,2,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609172,2023-07-14,7,9,5,possible injury,0,1,pedestrian right of way,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Not Stated,LOS ANGELES
9609173,2023-07-03,7,23,1,possible injury,0,1,improper turning,broadside,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609174,2023-07-03,7,23,1,minor injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609175,2023-07-01,7,22,6,minor injury,0,2,pedestrian right of way,vehicle/pedestrian,yes,no,no,2,0,0,0,0,0,Not Stated,LOS ANGELES
9609176,2023-07-03,7,22,1,possible injury,0,2,improper passing,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
