CASE_ID,COUNT_BICYCLIST_INJURED,COUNT_BICYCLIST_KILLED,NUMBER_INJURED,NUMBER_KILLED,TYPE_OF_COLLISION,PCF_VIOL_CATEGORY,STWD_VEHTYPE_AT_FAULT,INTERSECTION,LIGHTING,COUNTY
8123520,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,LOS ANGELES
8944987,1,0,1,0,vehicle/pedestrian,other hazardous violation,Passenger Car/Station Wagon,no,daylight,LOS ANGELES
90033860,1,0,1,0,rear end,unsafe speed,Passenger Car/Station Wagon,no,dark no street lights,YOLO
6337661,1,0,1,0,broadside,automobile right of way,Passenger Car/Station Wagon,yes,daylight,STANISLAUS
8533694,1,0,1,0,broadside,automobile right of way,Bicycle,yes,daylight,SANTA CLARA
6864257,1,0,1,0,broadside,improper turning,Passenger Car/Station Wagon,no,daylight,RIVERSIDE
8464754,1,0,1,0,other,unknown,Not Stated,no,dark street lights,SAN DIEGO
9124716,1,0,1,0,head-on,other hazardous violation,Passenger Car/Station Wagon,no,daylight,MARIN
6605262,1,0,1,0,other,automobile right of way,Bicycle,yes,daylight,LOS ANGELES
91467867,1,0,1,0,broadside,traffic signs,Bicycle,no,daylight,CONTRA COSTA
8542465,1,0,1,0,other,improper turning,Passenger Car/Station Wagon,no,daylight,LOS ANGELES
6572830,1,0,1,0,broadside,traffic signs,Bicycle,yes,dark street lights,LOS ANGELES
9137049,1,0,1,0,head-on,improper turning,Not Stated,yes,daylight,LOS ANGELES
91003413,1,0,1,0,overturned,unsafe speed,Bicycle,no,daylight,CONTRA COSTA
90671198,1,0,1,0,broadside,automobile right of way,Bicycle,yes,daylight,SAN JOAQUIN
8022960,1,0,1,0,other,automobile right of way,Bicycle,no,daylight,LOS ANGELES
9508396,1,0,1,0,hit object,other than driver or pedestrian,Not Stated,no,dark street lights,ORANGE
8288793,1,0,1,0,vehicle/pedestrian,automobile right of way,Passenger Car/Station Wagon,no,daylight,LOS ANGELES
8049813,1,0,1,0,broadside,wrong side of road,Bicycle,no,dark street lights,LOS ANGELES
7173683,1,0,1,0,head-on,wrong side of road,Bicycle,yes,daylight,SAN FRANCISCO
91168349,1,0,1,0,broadside,improper turning,Bicycle,no,dark no street lights,CONTRA COSTA
8989481,1,0,1,0,other,wrong side of road,Passenger Car/Station Wagon,no,dark street lights,KERN
8936677,1,0,1,0,broadside,improper turning,Pickup or Panel Truck,no,daylight,SAN FRANCISCO
82304887,1,0,1,0,broadside,traffic signs,Bicycle,yes,dark street lights,RIVERSIDE
90231787,1,0,1,0,sideswipe,unknown,Pickup or Panel Truck,no,daylight,SONOMA
6613482,1,0,1,0,head-on,automobile right of way,Not Stated,yes,daylight,IMPERIAL
8866379,1,0,1,0,broadside,traffic signs,Bicycle,yes,daylight,SANTA CLARA
90897597,1,0,1,0,sideswipe,wrong side of road,Passenger Car/Station Wagon,no,daylight,SANTA BARBARA
6718507,0,1,0,1,other,unknown,Not Stated,no,dusk-dawn,LOS ANGELES
6746841,1,0,1,0,sideswipe,unknown,Bicycle,yes,dark street lights,SAN BERNARDINO
8661180,1,0,1,0,broadside,automobile right of way,Bicycle,yes,daylight,SANTA CLARA
6501193,1,0,1,0,hit object,unknown,Not Stated,no,daylight,SAN DIEGO
7182606,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,FRESNO
6837168,1,0,1,0,broadside,automobile right of way,Not Stated,no,dark street lights,SANTA CLARA
8475652,1,0,1,0,unknown,automobile right of way,Bicycle,no,daylight,SAN DIEGO
6703821,1,0,1,0,overturned,unsafe speed,Bicycle,no,daylight,ORANGE
8155691,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,SAN BERNARDINO
9115016,1,0,1,0,vehicle/pedestrian,automobile right of way,Bicycle,no,daylight,ALAMEDA
9196687,1,0,1,0,unknown,traffic signs,Bicycle,yes,dark street lights,ORANGE
8708881,1,0,1,0,broadside,other hazardous violation,Bicycle,not stated,daylight,SACRAMENTO
6675962,1,0,1,0,other,unknown,Schoolbus,no,daylight,SACRAMENTO
8662684,1,0,1,0,rear end,following too closely,Not Stated,no,daylight,ALAMEDA
7181661,1,0,1,0,broadside,traffic signs,Passenger Car/Station Wagon,yes,daylight,ALAMEDA
6524713,1,0,1,0,head-on,improper passing,Bicycle,no,daylight,HUMBOLDT
6612054,1,0,1,0,other,wrong side of road,Bicycle,no,unknown,LOS ANGELES
6664323,1,0,1,0,head-on,wrong side of road,Bicycle,no,daylight,LOS ANGELES
9090783,1,0,1,0,other,unknown,Not Stated,yes,daylight,ALAMEDA
8754035,1,0,1,0,vehicle/pedestrian,pedestrian right of way,Passenger Car/Station Wagon,yes,daylight,ALAMEDA
9213487,1,0,1,0,broadside,traffic signs,Passenger Car/Station Wagon,no,dusk-dawn,SANTA CLARA
8002247,1,0,1,0,broadside,traffic signs,Bicycle,yes,dark street lights,SONOMA
9602464,1,0,1,0,head-on,traffic signs,Not Stated,not stated,daylight,LOS ANGELES
8536397,1,0,1,0,rear end,impeding traffic,Bicycle,no,daylight,LOS ANGELES
90793111,1,0,1,0,other,improper passing,Passenger Car/Station Wagon,no,daylight,PLUMAS
8729552,1,0,1,0,head-on,other hazardous violation,Bicycle,no,dark street lights,SAN BERNARDINO
7177247,1,0,1,0,unknown,wrong side of road,Bicycle,yes,daylight,LOS ANGELES
6894492,1,0,1,0,unknown,unsafe speed,Bicycle,no,daylight,SAN DIEGO
9351105,1,0,1,0,broadside,improper turning,Passenger Car/Station Wagon,yes,daylight,LOS ANGELES
81830820,1,0,1,0,broadside,automobile right of way,Bicycle,yes,daylight,ORANGE
9469452,1,0,1,0,head-on,unknown,Not Stated,yes,daylight,SAN FRANCISCO
91989930,1,0,1,0,head-on,unsafe speed,Bicycle,yes,daylight,MARIN
9047507,1,0,1,0,broadside,pedestrian right of way,Passenger Car/Station Wagon,yes,dusk-dawn,SAN FRANCISCO
8414854,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,LOS ANGELES
91007814,1,0,1,0,rear end,improper turning,Bicycle,no,daylight,LOS ANGELES
6905902,1,0,1,0,sideswipe,improper turning,Emergency Vehicle,no,dusk-dawn,STANISLAUS
6718263,0,1,0,1,other,improper turning,Truck or Truck Tractor with Trailer,no,daylight,SANTA CLARA
8843441,1,0,1,0,other,unsafe speed,Passenger Car/Station Wagon,yes,dark street lights,ORANGE
8978876,1,0,1,0,other,traffic signs,Bicycle,yes,daylight,SAN JOAQUIN
91383648,1,0,1,0,sideswipe,improper turning,Passenger Car/Station Wagon,yes,dark no street lights,SAN LUIS OBISPO
8921579,1,0,1,0,broadside,traffic signs,Bicycle,yes,daylight,FRESNO
90386055,1,0,1,0,broadside,wrong side of road,Bicycle,yes,daylight,LOS ANGELES
9030914,1,0,1,0,other,traffic signs,Passenger Car/Station Wagon,yes,daylight,SAN JOAQUIN
8062310,0,0,1,0,vehicle/pedestrian,improper turning,Pickup or Panel Truck,yes,daylight,LOS ANGELES
9366086,1,0,1,0,head-on,wrong side of road,Bicycle,no,dark street lights,LOS ANGELES
8095050,1,0,1,0,vehicle/pedestrian,wrong side of road,Bicycle,yes,daylight,SAN DIEGO
9572399,1,0,1,0,broadside,improper turning,Passenger Car/Station Wagon,yes,daylight,ALAMEDA
8923611,1,0,1,0,head-on,improper turning,Bicycle,no,daylight,SONOMA
8130073,1,0,1,0,sideswipe,other hazardous violation,Passenger Car/Station Wagon,no,daylight,ALAMEDA
9345603,0,0,1,0,sideswipe,other hazardous violation,Bicycle,no,daylight,SAN FRANCISCO
6497655,1,0,1,0,broadside,unknown,Not Stated,no,daylight,LOS ANGELES
8875218,1,0,1,0,sideswipe,improper turning,Bicycle,yes,daylight,SANTA CRUZ
8639275,1,0,1,0,other,wrong side of road,Bicycle,no,daylight,SAN JOAQUIN
82073311,1,0,1,0,broadside,automobile right of way,Passenger Car/Station Wagon,yes,daylight,SAN JOAQUIN
8982644,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,LOS ANGELES
91109468,1,0,1,0,broadside,improper turning,Bicycle,yes,dark street lights,SONOMA
9282113,1,0,1,0,head-on,improper turning,Bicycle,yes,daylight,SUTTER
90507087,1,0,1,0,hit object,unsafe speed,Bicycle,no,daylight,KERN
91964615,1,0,1,0,broadside,traffic signs,Bicycle,yes,daylight,ALAMEDA
6370248,1,0,1,0,overturned,wrong side of road,Bicycle,no,daylight,VENTURA
82035001,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,SACRAMENTO
8583321,1,0,1,0,broadside,automobile right of way,Passenger Car/Station Wagon,yes,dark street lights,SAN BERNARDINO
6921775,1,0,1,0,broadside,pedestrian right of way,Passenger Car/Station Wagon,yes,daylight,CONTRA COSTA
81917907,1,0,1,0,sideswipe,automobile right of way,Passenger Car/Station Wagon,yes,daylight,ORANGE
8862611,1,0,1,0,broadside,traffic signs,Bicycle,yes,daylight,CONTRA COSTA
6921421,1,0,1,0,other,wrong side of road,Bicycle,yes,daylight,YOLO
8281596,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,LOS ANGELES
8847726,1,0,1,0,broadside,automobile right of way,Truck or Truck Tractor,yes,dark street lights,LOS ANGELES
91463207,1,0,1,0,hit object,other than driver or pedestrian,Not Stated,no,daylight,SAN MATEO
7143340,1,0,1,0,broadside,improper turning,Passenger Car/Station Wagon,no,daylight,FRESNO
8825577,1,0,1,0,sideswipe,automobile right of way,Passenger Car/Station Wagon,yes,dusk-dawn,CONTRA COSTA
6987908,1,0,1,0,head-on,DUI,Bicycle,yes,daylight,ORANGE
6559973,1,0,1,0,broadside,unsafe speed,Bicycle,no,daylight,SOLANO
9469309,1,0,1,0,broadside,pedestrian violation,Bicycle,yes,daylight,ALAMEDA
8831894,1,0,1,0,vehicle/pedestrian,traffic signs,Bicycle,yes,daylight,SAN DIEGO
9641876,1,0,1,0,broadside,traffic signs,Passenger Car/Station Wagon,no,dark street lights,SAN FRANCISCO
8722737,1,0,1,0,overturned,unsafe speed,Bicycle,no,daylight,SAN DIEGO
8829128,1,0,1,0,broadside,unsafe starting or backing,Not Stated,no,daylight,BUTTE
9622407,1,0,1,0,vehicle/pedestrian,traffic signs,Bicycle,yes,dusk-dawn,LOS ANGELES
6897265,1,0,1,0,broadside,traffic signs,Not Stated,yes,dark street lights,LOS ANGELES
9641047,1,0,1,0,other,automobile right of way,Bicycle,no,daylight,SANTA BARBARA
90085865,1,0,1,0,head-on,wrong side of road,Bicycle,no,daylight,ORANGE
8595603,1,0,1,0,broadside,other improper driving,Bicycle,no,daylight,ORANGE
6726490,1,0,1,0,broadside,wrong side of road,Bicycle,no,dark street lights,ORANGE
9600968,1,0,1,0,rear end,unsafe speed,Not Stated,no,daylight,SAN DIEGO
8638922,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,TULARE
6565926,1,0,1,0,other,other hazardous violation,Passenger Car/Station Wagon,no,daylight,SAN FRANCISCO
9118144,1,0,1,0,broadside,traffic signs,Bicycle,yes,dusk-dawn,RIVERSIDE
9007403,1,0,2,0,sideswipe,unknown,Not Stated,no,daylight,LOS ANGELES
81631585,1,0,1,0,overturned,unsafe speed,Bicycle,not stated,daylight,SAN MATEO
8706372,1,0,1,0,other,unknown,Bicycle,no,dark street lights,SANTA CLARA
9630977,1,0,1,0,vehicle/pedestrian,improper turning,Passenger Car/Station Wagon,yes,daylight,SAN BERNARDINO
8501902,1,0,1,0,broadside,traffic signs,Not Stated,yes,dark street lights,LOS ANGELES
8094772,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,LOS ANGELES
9485522,1,0,1,0,other,wrong side of road,Bicycle,no,daylight,SACRAMENTO
8878678,1,0,1,0,broadside,traffic signs,Not Stated,yes,dark street lights,SAN FRANCISCO
7069115,1,0,1,0,sideswipe,improper turning,Bicycle,no,dark street lights,LOS ANGELES
8684162,1,0,1,0,broadside,automobile right of way,Bicycle,yes,daylight,LOS ANGELES
90638917,1,0,1,0,broadside,automobile right of way,Bicycle,no,daylight,LOS ANGELES
8598904,1,0,1,0,vehicle/pedestrian,wrong side of road,Motorcycle/Scooter,not stated,daylight,SAN DIEGO
8842185,1,0,1,0,head-on,unsafe speed,Passenger Car/Station Wagon,no,daylight,SACRAMENTO
6617523,1,0,1,0,sideswipe,unsafe speed,Not Stated,yes,daylight,LOS ANGELES
6290656,0,1,0,1,other,wrong side of road,Bicycle,no,dark street lights,RIVERSIDE
8906963,1,0,1,0,broadside,automobile right of way,Bicycle,no,daylight,SACRAMENTO
8633603,1,0,1,0,broadside,automobile right of way,Passenger Car/Station Wagon,yes,daylight,LOS ANGELES
9057489,1,0,2,0,other,wrong side of road,Bicycle,no,daylight,MERCED
9683829,1,0,1,0,broadside,traffic signs,Bicycle,yes,daylight,RIVERSIDE
8605112,1,0,1,0,broadside,other hazardous violation,Bicycle,yes,daylight,LOS ANGELES
92303154,1,0,1,0,rear end,improper turning,Not Stated,no,dark no street lights,KERN
7015221,1,0,1,0,other,automobile right of way,Not Stated,yes,daylight,SAN FRANCISCO
7039459,1,0,1,0,other,automobile right of way,Bicycle,no,daylight,VENTURA
9366330,1,0,1,0,sideswipe,unsafe lane change,Not Stated,no,daylight,LOS ANGELES
8026620,1,0,1,0,vehicle/pedestrian,wrong side of road,Bicycle,yes,daylight,ORANGE
9458676,1,0,1,0,other,unknown,Not Stated,yes,daylight,PLACER
8343929,1,0,1,0,sideswipe,other hazardous violation,Bicycle,no,daylight,LOS ANGELES
9628940,1,0,1,0,broadside,unknown,Not Stated,yes,daylight,SAN FRANCISCO
8594602,1,0,1,0,broadside,traffic signs,Bicycle,yes,daylight,SAN FRANCISCO
9070881,2,0,2,0,rear end,other hazardous violation,Bicycle,no,dark street lights,STANISLAUS
9458345,1,0,1,0,broadside,unsafe lane change,Bicycle,no,dark street lights,LOS ANGELES
6916848,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,SACRAMENTO
6754000,1,0,1,0,broadside,improper turning,Not Stated,no,dark street lights,SANTA BARBARA
8974921,1,0,1,0,vehicle/pedestrian,wrong side of road,Bicycle,no,dark street lights,LOS ANGELES
8173576,1,0,1,0,sideswipe,unsafe speed,Bicycle,no,dark street lights,SACRAMENTO
8770432,1,0,1,0,rear end,DUI,Passenger Car/Station Wagon,no,dark street lights,ORANGE
6328108,1,0,1,0,head-on,wrong side of road,Bicycle,no,dark no street lights,SAN DIEGO
6545272,1,0,1,0,broadside,improper turning,Passenger Car/Station Wagon,yes,daylight,LOS ANGELES
6425928,1,0,1,0,other,wrong side of road,Bicycle,no,daylight,LOS ANGELES
8121967,1,0,1,0,broadside,automobile right of way,Not Stated,yes,daylight,CONTRA COSTA
6397216,1,0,1,0,other,other hazardous violation,Pickup or Panel Truck,no,daylight,LOS ANGELES
6539501,1,0,1,0,broadside,traffic signs,Bicycle,no,dark street lights,ORANGE
8760963,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,SAN BERNARDINO
8521258,1,0,1,0,head-on,unknown,Bicycle,yes,dusk-dawn,SANTA CLARA
9028985,1,0,1,0,broadside,automobile right of way,Bicycle,no,dark street lights,SACRAMENTO
8711256,1,0,1,0,sideswipe,unsafe speed,Bicycle,no,daylight,LOS ANGELES
92098715,1,0,1,0,other,traffic signs,Bicycle,yes,daylight,SANTA CRUZ
8897540,1,0,1,0,other,wrong side of road,Bicycle,yes,daylight,MERCED
8901175,1,0,1,0,broadside,traffic signs,Bicycle,yes,daylight,SAN BERNARDINO
90139059,1,0,1,0,other,automobile right of way,Passenger Car/Station Wagon,yes,daylight,SACRAMENTO
9050330,1,0,1,0,broadside,traffic signs,Not Stated,not stated,daylight,LOS ANGELES
9198572,1,0,1,0,rear end,unsafe speed,Pickup or Panel Truck,no,dark street lights,ALAMEDA
9609335,1,0,1,0,vehicle/pedestrian,improper turning,Not Stated,no,dark street lights,SAN DIEGO
6837813,1,0,1,0,broadside,improper turning,Passenger Car/Station Wagon,no,daylight,SANTA CLARA
8414471,1,0,1,0,broadside,automobile right of way,Passenger Car/Station Wagon,no,daylight,LOS ANGELES
